Prise en compte;Code INSEE Commune Nouvelle;Nom Commune Nouvelle Siège;Code INSEE Commune Déléguée (non actif);Nom Commune Déléguée;Adresse 2016 - Code INSEE;Adresse 2016 - L6 Code Postal;Adresse 2016 - L6 Libellé Acheminement;Adresse 2016 - Ligne 5 Commune déléguée;Adresse 2016 - Code INSEE associé à la L5;Adresse 2015 - Code INSEE;Adresse 2015 - L6 Code Postal;Adresse 2015 - Libellé Acheminement;Adresse 2015 - L5;Adresse 2015 - Code INSEE Associé à la L5
DÉCEMBRE 2016;61339;Putanges-le-Lac;61179;Fresnaye-au-Sauvage (La);;;PUTANGES LE LAC;LA FRESNAYE AU SAUVAGE;;;;LA FRESNAYE AU SAUVAGE;;
DÉCEMBRE 2016;61339;Putanges-le-Lac;61378;Sainte-Croix-sur-Orne;;;PUTANGES LE LAC;STE CROIX SUR ORNE;;;;STE CROIX SUR ORNE;;
FÉVRIER 2016;61230;Longny les Villages;61230;Longny-au-Perche;;;LONGNY LES VILLAGES;LONGNY AU PERCHE;;;;LONGNY AU PERCHE;;
DÉCEMBRE 2017;61429;Charencey;61299;Moussonvilliers;;;CHARENCEY;MOUSSONVILLIERS;;;;MOUSSON VILLIERS;;
DÉCEMBRE 2016;61339;Putanges-le-Lac;61340;Rabodanges;;;PUTANGES LE LAC;RABODANGES;;;;RABODANGES;;
FÉVRIER 2016;61345;Rémalard en Perche;61345;Rémalard;;;REMALARD EN PERCHE;REMALARD;;;;REMALARD;;
FÉVRIER 2016;61211;Juvigny Val d'Andaine;61239;Lucé;;;JUVIGNY VAL D ANDAINE;LUCE;;;;LUCE;;
MARS 2016;61168;Ferté Macé (La);61004;Antoigny;;;LA FERTE MACE;ANTOIGNY;;;;ANTOIGNY;;
DÉCEMBRE 2017;61429;Charencey;61311;Normandel;;;CHARENCEY;NORMANDEL;;;;NORMANDEL;;
DÉCEMBRE 2016;61341;Écouves;61341;Radon;;;ECOUVES;RADON;;;;RADON;;
DÉCEMBRE 2016;68219;Haut Soultzbach (Le);68314;Soppe-le-Haut;;;LE HAUT SOULTZBACH;SOPPE LE HAUT;;;;SOPPE LE HAUT;;
FÉVRIER 2016;68012;Aspach-Michelbach;68012;Aspach-le-Haut;;;ASPACH MICHELBACH;ASPACH LE HAUT;;;;ASPACH LE HAUT;;
FÉVRIER 2016;68201;Masevaux-Niederbruck;68233;Niederbruck;;;MASEVAUX NIEDERBRUCK;NIEDERBRUCK;;;;NIEDERBRUCK;;
JANVIER 2016;68162;Kaysersberg Vignoble;68164;Kientzheim;;;KAYSERSBERG VIGNOBLE;KIENTZHEIM;;;;KIENTZHEIM;;
FÉVRIER 2016;68201;Masevaux-Niederbruck;68201;Masevaux;;;MASEVAUX NIEDERBRUCK;MASEVAUX;;;;MASEVAUX;;
FÉVRIER 2016;67372;Val de Moder;67496;Uberach;;;VAL DE MODER;UBERACH;;;;UBERACH;;
FÉVRIER 2016;68240;Illtal;68133;Henflingen;;;ILLTAL;HENFLINGEN;;;;HENFLINGEN;;
DÉCEMBRE 2016;67004;Sommerau;67469;Singrist;;;SOMMERAU;SINGRIST;;;;SINGRIST;;
DÉCEMBRE 2016;65399;Saligos;65480;Vizos;;;SALIGOS;VIZOS;;;;VIZOS;;
DÉCEMBRE 2016;67202;Hochfelden;67202;Hochfelden;;;HOCHFELDEN;;;;;HOCHFELDEN;;
FÉVRIER 2016;61491;Tourouvre au Perche;61335;Poterie-au-Perche (La);;;TOUROUVRE AU PERCHE;LA POTERIE AU PERCHE;;;;LA POTERIE AU PERCHE;;
DÉCEMBRE 2017;61429;Charencey;61429;Saint-Maurice-les-Charencey;;;CHARENCEY;ST MAURICE LES CHARENCEY;;;;ST MAURICE LES CHARENCEY;;
DÉCEMBRE 2016;61474;Gouffern en Auge;61474;Silly-en-Gouffern;;;GOUFFERN EN AUGE;SILLY EN GOUFFERN;;;;SILLY EN GOUFFERN;;
FÉVRIER 2016;61491;Tourouvre au Perche;61059;Bresolettes;;;TOUROUVRE AU PERCHE;BRESOLETTES;;;;BRESOLETTES;;
FÉVRIER 2016;61491;Tourouvre au Perche;61343;Randonnai;;;TOUROUVRE AU PERCHE;RANDONNAI;;;;RANDONNAI;;
DÉCEMBRE 2016;61484;Val-au-Perche;61484;Theil (Le);;;VAL AU PERCHE;LE THEIL SUR HUISNE;;;;LE THEIL;;
FÉVRIER 2016;61491;Tourouvre au Perche;61016;Autheuil;;;TOUROUVRE AU PERCHE;AUTHEUIL;;;;AUTHEUIL;;
DÉCEMBRE 2016;61474;Gouffern en Auge;61477;Survie;;;GOUFFERN EN AUGE;SURVIE;;;;SURVIE;;
DÉCEMBRE 2016;61484;Val-au-Perche;61185;Gémages;;;VAL AU PERCHE;GEMAGES;;;;GEMAGES;;
DÉCEMBRE 2016;65081;Benqué-Molère;65081;Benqué;;;BENQUE MOLERE;BENQUE;;;;BENQUE;;
FÉVRIER 2016;76164;Rives-en-Seine;76659;Saint-Wandrille-Rançon;;;RIVES EN SEINE;ST WANDRILLE RANCON;;;;ST WANDRILLE RANCON;;
