ID_SITE;NB_CLI_AB_NA;MNT_PTF_AB_NA;COD_DGR;LIB_DGR;COD_DR;LIB_DR
exp-cannes;616;930250;5;D.G.R./SUD EST;51;D.R./NICE;
exp-orange;430;379123;5;D.G.R./SUD EST;55;D.R./ARLES;
exp-trevoux;190;268670;4;D.G.R./CENTRE EST;44;D.R./LYON;
exp-annemasse;126;232767;4;D.G.R./CENTRE EST;43;D.R./ANNECY;
exp-rumilly;277;574793;4;D.G.R./CENTRE EST;43;D.R./ANNECY;
exp-besancon;775;496117;3;D.G.R./EST;31;D.R./DIJON;
exp-noyon;130;200311;2;D.G.R./NORD;21;D.R./AMIENS;
exp-aubusson;122;58984;6;D.G.R./SUD OUEST;65;D.R./LIMOGES;
exp-roanne;295;469735;4;D.G.R./CENTRE EST;45;D.R./VIENNE;
exp-thiers;130;262028;4;D.G.R./CENTRE EST;42;D.R./CLERMONT FERRAND;
exp-draguignan;179;155573;5;D.G.R./SUD EST;51;D.R./NICE;
exp-moutiers;119;112614;4;D.G.R./CENTRE EST;43;D.R./ANNECY;
exp-porto-vecchio;248;647298;5;D.G.R./SUD EST;51;D.R./NICE;
exp-cosne-cours-sur-loire;131;238041;3;D.G.R./EST;34;D.R./AUXERRE;
exp-peage-de-roussillon;158;253338;4;D.G.R./CENTRE EST;45;D.R./VIENNE;
exp-angouleme;281;348029;1;D.G.R./OUEST;13;D.R./POITIERS;
exp-saint-remy-de-provence;241;408193;5;D.G.R./SUD EST;55;D.R./ARLES;
exp-arles;265;382727;5;D.G.R./SUD EST;55;D.R./ARLES;
exp-tournon-sur-rhone;369;640009;4;D.G.R./CENTRE EST;45;D.R./VIENNE;
exp-paris;342;1078276;2;D.G.R./NORD;26;D.R./PARIS;
exp-sens;220;297515;3;D.G.R./EST;34;D.R./AUXERRE;
exp-chatillon-sur-seine;108;149275;3;D.G.R./EST;31;D.R./DIJON;
exp-neufchateau;138;154729;3;D.G.R./EST;32;D.R./NANCY;
exp-brioude;118;148613;4;D.G.R./CENTRE EST;42;D.R./CLERMONT FERRAND;
exp-orbec;95;114154;2;D.G.R./NORD;25;D.R./ROUEN;
exp-le-havre;111;146270;2;D.G.R./NORD;25;D.R./ROUEN;
exp-tulle;197;419750;6;D.G.R./SUD OUEST;65;D.R./LIMOGES;
exp-bellac;167;180645;6;D.G.R./SUD OUEST;65;D.R./LIMOGES;
exp-pornichet;172;160962;1;D.G.R./OUEST;12;D.R./NANTES;
exp-challans;122;110215;1;D.G.R./OUEST;12;D.R./NANTES;
exp-saint-jean-de-la-ruelle;533;937116;2;D.G.R./NORD;23;D.R./BLOIS;
exp-le-blanc;133;184930;6;D.G.R./SUD OUEST;65;D.R./LIMOGES;
exp-objat;176;134034;6;D.G.R./SUD OUEST;65;D.R./LIMOGES;
exp-saint-leonard-de-noblat;128;114278;6;D.G.R./SUD OUEST;65;D.R./LIMOGES;
exp-auxerre;380;446890;3;D.G.R./EST;34;D.R./AUXERRE;
exp-oloron-sainte-marie;305;230803;6;D.G.R./SUD OUEST;67;D.R./PAU;
exp-saint-brevin-les-pins;191;143484;1;D.G.R./OUEST;12;D.R./NANTES;
exp-arras;65;70395;8;D.G.R./NORD EUROPE;81;D.R./LILLE;
exp-tignes;194;151946;4;D.G.R./CENTRE EST;43;D.R./ANNECY;
exp-ferney-voltaire;377;470083;4;D.G.R./CENTRE EST;44;D.R./LYON;
exp-perpignan;320;497218;5;D.G.R./SUD EST;54;D.R./MONTPELLIER;
exp-meyzieu;283;444408;4;D.G.R./CENTRE EST;44;D.R./LYON;
exp-chalon-sur-saone;295;242856;3;D.G.R./EST;31;D.R./DIJON;
